Vand ud af køler, Vand ind i køler, Olie
1.199769350230548604e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.199769350230548604e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.199769350230548604e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.199769350230548604e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.199769350230548604e+01,7.765022313363230921e+01,1.770000000000000000e+02
1.204276931726898248e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.204276931726898248e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.204276931726898248e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.204276931726898248e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.208801448387445632e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.213342963838281818e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.213342963838281818e+01,7.794195813162779984e+01,1.770000000000000000e+02
1.213342963838281818e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.217901541944542387e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.217901541944542387e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.217901541944542387e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.217901541944542387e+01,7.794195813162779984e+01,1.760000000000000000e+02
1.217901541944542387e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.222477246811306273e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.222477246811306273e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.222477246811306273e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.222477246811306273e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.227070142784499929e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.227070142784499929e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.227070142784499929e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.227070142784499929e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.227070142784499929e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.231680294451797941e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.231680294451797941e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.231680294451797941e+01,7.823478918969395579e+01,1.760000000000000000e+02
1.231680294451797941e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.236307766643533768e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.236307766643533768e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.236307766643533768e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.236307766643533768e+01,7.823478918969395579e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.240952624433612073e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.245614933140421599e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.245614933140421599e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.250294758327755318e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.254992165805732718e+01,7.852872042577237721e+01,1.790000000000000000e+02
1.254992165805732718e+01,7.852872042577237721e+01,1.800000000000000000e+02
1.254992165805732718e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.254992165805732718e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.259707221631723506e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.259707221631723506e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.259707221631723506e+01,7.852872042577237721e+01,1.810000000000000000e+02
1.259707221631723506e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.259707221631723506e+01,7.882375597327589389e+01,1.810000000000000000e+02
1.264439992111277000e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.264439992111277000e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.264439992111277000e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.264439992111277000e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.264439992111277000e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.852872042577237721e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.269190543799057558e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.273958943499776097e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.273958943499776097e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.273958943499776097e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.273958943499776097e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.273958943499776097e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.278745258269131035e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.278745258269131035e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.278745258269131035e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.278745258269131035e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.278745258269131035e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.283549555414754018e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.283549555414754018e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.283549555414754018e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.283549555414754018e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.283549555414754018e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.288371902497152455e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.288371902497152455e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.288371902497152455e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.288371902497152455e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.288371902497152455e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.293212367330660761e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.298071017984396747e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.302947922783214807e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.302947922783214807e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.302947922783214807e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.302947922783214807e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.302947922783214807e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.307843150308668179e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.312756769399976164e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.790000000000000000e+02
1.317688849154987274e+01,7.882375597327589389e+01,1.780000000000000000e+02
